,X,Y,confidence
0,"{'citrus fruit', 'root vegetables'}",{'other vegetables'},0.5862068965517241
1,"{'yogurt', 'root vegetables'}",{'other vegetables'},0.5
2,"{'other vegetables', 'domestic eggs'}",{'whole milk'},0.5525114155251142
3,"{'rolls/buns', 'root vegetables'}",{'whole milk'},0.5230125523012552
4,"{'yogurt', 'root vegetables'}",{'whole milk'},0.562992125984252
5,"{'other vegetables', 'yogurt'}",{'whole milk'},0.5128805620608899
6,"{'other vegetables', 'butter'}",{'whole milk'},0.5736040609137056
7,"{'tropical fruit', 'root vegetables'}",{'whole milk'},0.5700483091787439
8,"{'pip fruit', 'other vegetables'}",{'whole milk'},0.5175097276264592
9,"{'whipped/sour cream', 'yogurt'}",{'whole milk'},0.5245098039215687
10,"{'tropical fruit', 'root vegetables'}",{'other vegetables'},0.5845410628019324
11,"{'rolls/buns', 'root vegetables'}",{'other vegetables'},0.502092050209205
12,"{'whipped/sour cream', 'other vegetables'}",{'whole milk'},0.5070422535211268
13,"{'tropical fruit', 'yogurt'}",{'whole milk'},0.5173611111111112
14,"{'curd', 'yogurt'}",{'whole milk'},0.5823529411764706
