,pattern,frequency
0,{'yogurt'},1372
1,{'whipped/sour cream'},705
2,{'herbs'},160
3,{'ham'},256
4,{'butter milk'},275
5,{'canned beer'},764
6,{'potted plants'},170
7,{'white bread'},414
8,{'detergent'},189
9,{'bottled water'},1087
10,{'waffles'},378
11,{'salty snack'},372
12,{'curd'},524
13,{'dish cleaner'},103
14,{'pastry'},875
15,{'dessert'},365
16,{'mustard'},118
17,{'beef'},516
18,{'red/blush wine'},189
19,{'packaged fruit/vegetables'},128
20,{'hard cheese'},241
21,{'tropical fruit'},1032
22,{'hygiene articles'},324
23,{'whole milk'},2513
24,{'frozen fish'},115
25,{'specialty bar'},269
26,{'fruit/vegetable juice'},711
27,{'canned fish'},148
28,{'frozen vegetables'},473
29,{'ice cream'},246
30,{'frozen dessert'},106
31,{'hamburger meat'},327
32,{'citrus fruit'},814
33,{'grapes'},220
34,{'canned vegetables'},106
35,{'meat'},254
36,{'cling film/bags'},112
37,{'margarine'},576
38,{'beverages'},256
39,{'liquor'},109
40,{'processed cheese'},163
41,{'oil'},276
42,{'shopping bags'},969
43,{'soda'},1715
44,{'condensed milk'},101
45,{'misc. beverages'},279
46,{'sliced cheese'},241
47,{'white wine'},187
48,{'UHT-milk'},329
49,{'domestic eggs'},624
50,{'rolls/buns'},1809
51,{'baking powder'},174
52,{'brown bread'},638
53,{'chocolate'},488
54,{'cream cheese'},390
55,{'flour'},171
56,{'bottled beer'},792
57,{'candy'},294
58,{'other vegetables'},1903
59,{'cat food'},229
60,{'onions'},305
61,{'long life bakery product'},368
62,{'salt'},106
63,{'dishes'},173
64,{'pickled vegetables'},176
65,{'berries'},327
66,{'sugar'},333
67,{'root vegetables'},1072
68,{'pasta'},148
69,{'napkins'},515
70,{'coffee'},571
71,{'flower (seeds)'},102
72,{'butter'},545
73,{'seasonal products'},140
74,{'chewing gum'},207
75,{'sausage'},924
76,{'frankfurter'},580
77,{'semi-finished bread'},174
78,{'newspapers'},785
79,{'cake bar'},130
80,{'soft cheese'},168
81,{'chicken'},422
82,{'specialty chocolate'},299
83,{'pork'},567
84,{'frozen meals'},279
85,{'spread cheese'},110
86,{'pip fruit'},744
87,{'roll products'},101
88,"{'yogurt', 'pastry'}",174
89,"{'citrus fruit', 'whipped/sour cream'}",107
90,"{'other vegetables', 'sausage'}",265
91,"{'soda', 'frankfurter'}",111
92,"{'yogurt', 'citrus fruit'}",213
93,"{'tropical fruit', 'pip fruit'}",201
94,"{'rolls/buns', 'pip fruit'}",137
95,"{'whole milk', 'hamburger meat'}",145
96,"{'whole milk', 'dessert'}",135
97,"{'shopping bags', 'sausage'}",154
98,"{'yogurt', 'pip fruit'}",177
99,"{'soda', 'chocolate'}",133
100,"{'pork', 'rolls/buns'}",111
101,"{'rolls/buns', 'beef'}",134
102,"{'tropical fruit', 'citrus fruit'}",196
103,"{'white bread', 'other vegetables'}",135
104,"{'tropical fruit', 'soda'}",205
105,"{'bottled water', 'yogurt'}",226
106,"{'curd', 'root vegetables'}",107
107,"{'sugar', 'other vegetables'}",106
108,"{'soda', 'margarine'}",100
109,"{'yogurt', 'shopping bags'}",150
110,"{'whole milk', 'curd'}",257
111,"{'yogurt', 'soda'}",269
112,"{'shopping bags', 'whole milk'}",241
113,"{'yogurt', 'brown bread'}",143
114,"{'newspapers', 'tropical fruit'}",116
115,"{'curd', 'whipped/sour cream'}",103
116,"{'citrus fruit', 'sausage'}",111
117,"{'long life bakery product', 'other vegetables'}",105
118,"{'shopping bags', 'root vegetables'}",126
119,"{'newspapers', 'root vegetables'}",113
120,"{'tropical fruit', 'shopping bags'}",133
121,"{'chocolate', 'rolls/buns'}",116
122,"{'root vegetables', 'sausage'}",147
123,"{'root vegetables', 'frankfurter'}",100
124,"{'brown bread', 'sausage'}",105
125,"{'tropical fruit', 'fruit/vegetable juice'}",135
126,"{'butter', 'root vegetables'}",127
127,"{'tropical fruit', 'root vegetables'}",207
128,"{'whole milk', 'brown bread'}",248
129,"{'yogurt', 'domestic eggs'}",141
130,"{'brown bread', 'root vegetables'}",100
131,"{'soda', 'other vegetables'}",322
132,"{'domestic eggs', 'root vegetables'}",141
133,"{'yogurt', 'root vegetables'}",254
134,"{'yogurt', 'whole milk'}",551
135,"{'root vegetables', 'whipped/sour cream'}",168
136,"{'whole milk', 'pip fruit'}",296
137,"{'other vegetables', 'cream cheese'}",135
138,"{'whole milk', 'beef'}",209
139,"{'whole milk', 'pork'}",218
140,"{'pastry', 'tropical fruit'}",130
141,"{'chicken', 'root vegetables'}",107
142,"{'chocolate', 'other vegetables'}",125
143,"{'other vegetables', 'coffee'}",132
144,"{'whole milk', 'citrus fruit'}",300
145,"{'pastry', 'whole milk'}",327
146,"{'tropical fruit', 'curd'}",101
147,"{'fruit/vegetable juice', 'citrus fruit'}",102
148,"{'rolls/buns', 'bottled beer'}",134
149,"{'soda', 'root vegetables'}",183
150,"{'soda', 'brown bread'}",124
151,"{'soda', 'napkins'}",118
152,"{'bottled water', 'tropical fruit'}",182
153,"{'yogurt', 'curd'}",170
154,"{'bottled water', 'root vegetables'}",154
155,"{'bottled water', 'whole milk'}",338
156,"{'pastry', 'pip fruit'}",105
157,"{'soda', 'pork'}",117
158,"{'whole milk', 'frankfurter'}",202
159,"{'soda', 'pip fruit'}",131
160,"{'yogurt', 'butter'}",144
161,"{'yogurt', 'frozen vegetables'}",122
162,"{'whole milk', 'fruit/vegetable juice'}",262
163,"{'rolls/buns', 'frankfurter'}",189
164,"{'rolls/buns', 'sausage'}",301
165,"{'chicken', 'other vegetables'}",176
166,"{'domestic eggs', 'rolls/buns'}",154
167,"{'whole milk', 'margarine'}",238
168,"{'whole milk', 'berries'}",116
169,"{'yogurt', 'tropical fruit'}",288
170,"{'napkins', 'rolls/buns'}",115
171,"{'tropical fruit', 'domestic eggs'}",112
172,"{'brown bread', 'rolls/buns'}",124
173,"{'whole milk', 'whipped/sour cream'}",317
174,"{'ham', 'whole milk'}",113
175,"{'butter milk', 'whole milk'}",114
176,"{'yogurt', 'margarine'}",140
177,"{'shopping bags', 'soda'}",242
178,"{'other vegetables', 'bottled beer'}",159
179,"{'rolls/buns', 'root vegetables'}",239
